world_rank,university_name,country,teaching,international,research,citations,num_students,student_staff_ratio,international_students,year,cwur_world_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_score,rank_gap,research_efficiency_per_1k,faculty_efficiency,global_influence_index,high_international_ratio,teaching_level,citations_level,top100_times,top100_cwur,country_year_teaching_mean,country_year_citations_mean,country_year_cwur_score_mean,relative_teaching,relative_citations,relative_cwur_score,teaching_z,citations_z,num_students_z,relative_teaching_z,relative_citations_z,entity_id,is_outlier_consensus
201,University of Gothenburg,Sweden,25.8,48.4,37.7,55.7,26420,16.4,0.12,2012,201,252,308,94,197,192,122,48,0,1.43,5.73,123.23,0,Low,Medium,0,0,34.44,56.75,47.1,0.75,0.98,1.02,-0.76,-0.43,0.32,-0.84,-0.08,University of Gothenburg | Sweden | 2012,0
201,University of Essex,United Kingdom,31.7,90.1,35.9,37.0,12695,19.8,0.39,2012,201,112,346,214,702,673,458,45,0,2.83,10.81,389.33,1,Low,Medium,0,0,35.15,60.59,47.85,0.9,0.61,0.94,-0.33,-1.59,-0.82,-0.33,-1.75,University of Essex | United Kingdom | 2012,1
156,University of Exeter,United Kingdom,31.3,73.4,33.3,67.8,17755,18.8,0.28,2012,156,257,426,214,301,181,417,46,0,1.88,11.38,221.93,0,Low,High,0,0,35.15,60.59,47.85,0.89,1.12,0.96,-0.36,0.33,-0.4,-0.37,0.53,University of Exeter | United Kingdom | 2012,0
251,University of Graz,Austria,24.9,63.8,14.0,55.1,20584,26.8,0.12,2012,251,344,441,200,548,536,609,45,0,0.68,7.46,400.03,0,Low,Medium,0,0,28.44,50.62,45.4,0.88,1.09,0.99,-0.82,-0.46,-0.16,-0.42,0.4,University of Graz | Austria | 2012,0
301,University of Ferrara,Italy,15.8,37.1,14.1,59.3,18882,30.2,0.07,2012,301,361,522,214,408,392,298,45,0,0.75,7.09,249.77,0,Low,Medium,0,0,23.31,48.69,45.71,0.68,1.22,0.98,-1.49,-0.2,-0.31,-1.08,0.98,University of Ferrara | Italy | 2012,0
201,University of Georgia,United States of America,44.4,30.6,36.4,37.3,33119,19.9,0.07,2012,201,98,190,170,178,127,210,48,0,1.1,8.54,124.77,0,Medium,Medium,0,0,47.35,71.32,51.89,0.94,0.52,0.92,0.6,-1.57,0.88,-0.21,-2.14,University of Georgia | United States of America | 2012,0
189,University of Freiburg,Germany,35.7,55.6,18.7,67.8,26467,31.2,0.16,2012,189,355,424,210,404,404,368,45,0,0.71,6.73,279.93,0,Low,High,0,0,37.07,59.34,46.25,0.96,1.14,0.97,-0.03,0.33,0.33,-0.12,0.64,University of Freiburg | Germany | 2012,0
130,University of Geneva,Switzerland,34.9,97.5,39.0,65.1,15668,15.0,0.39,2012,65,46,101,29,101,93,101,48,65,2.49,1.93,86.37,1,Low,Medium,0,1,44.53,76.5,49.22,0.78,0.85,0.98,-0.09,0.16,-0.58,-0.72,-0.67,University of Geneva | Switzerland | 2012,1
102,University of Glasgow,United Kingdom,37.5,68.1,41.0,77.5,22616,16.0,0.29,2012,102,226,100,214,120,138,84,50,0,1.81,13.38,99.83,0,Low,High,0,0,35.15,60.59,47.85,1.07,1.28,1.05,0.1,0.93,0.0,0.22,1.25,University of Glasgow | United Kingdom | 2012,0
36,University of Edinburgh,United Kingdom,63.0,79.8,61.4,92.3,25774,14.1,0.36,2012,60,71,101,43,64,41,70,48,-24,2.38,3.05,67.77,1,Medium,High,1,1,35.15,60.59,47.85,1.79,1.52,1.0,1.97,1.85,0.27,2.66,2.35,University of Edinburgh | United Kingdom | 2012,1
125,University of Florida,United States of America,46.7,25.9,59.9,50.9,50095,18.7,0.09,2012,55,101,101,96,29,74,42,49,70,1.2,5.13,55.63,0,Medium,Medium,0,1,47.35,71.32,51.89,0.99,0.71,0.94,0.77,-0.72,2.3,-0.05,-1.29,University of Florida | United States of America | 2012,0
301,University of Eastern Finland,Finland,23.2,33.5,16.1,51.1,10798,17.3,0.06,2012,301,361,522,214,376,399,316,46,0,1.49,12.37,255.37,0,Low,Medium,0,0,26.32,47.4,45.0,0.88,1.08,1.02,-0.95,-0.71,-0.98,-0.4,0.35,University of Eastern Finland | Finland | 2012,0
103,University of Cape Town,South Africa,34.3,73.9,41.1,75.3,20040,12.1,0.18,2012,103,100,148,144,326,240,227,47,0,2.05,11.9,180.77,0,Low,High,0,0,28.43,48.2,47.67,1.21,1.56,0.99,-0.14,0.79,-0.21,0.69,2.53,University of Cape Town | South Africa | 2012,0
176,University of Dundee,United Kingdom,20.8,62.5,20.1,87.1,11628,15.3,0.25,2012,176,171,522,214,354,200,148,47,0,1.73,13.99,145.03,0,Low,High,0,0,35.15,60.59,47.85,0.59,1.44,0.98,-1.13,1.53,-0.91,-1.37,1.96,University of Dundee | United Kingdom | 2012,0
180,University of Delaware,United States of America,26.4,29.8,37.2,66.7,19262,15.9,0.1,2012,180,308,362,130,268,304,242,47,0,1.93,8.18,204.23,0,Low,Medium,0,0,47.35,71.32,51.89,0.56,0.94,0.91,-0.71,0.26,-0.28,-1.48,-0.29,University of Delaware | United States of America | 2012,0
276,University of Crete,Greece,13.1,42.6,12.6,66.7,14650,26.9,0.05,2012,276,361,522,214,486,508,458,45,0,0.86,7.96,344.23,0,Low,Medium,0,0,13.1,66.7,45.0,1.0,1.0,1.0,-1.69,0.26,-0.66,0.0,0.0,University of Crete | Greece | 2012,1
135,University of Copenhagen,Denmark,37.8,74.8,31.6,72.1,27545,4.1,0.19,2012,93,101,101,60,85,66,101,44,42,1.15,14.63,79.7,0,Low,High,0,1,27.82,57.6,46.6,1.36,1.25,0.94,0.12,0.59,0.42,1.2,1.13,University of Copenhagen | Denmark | 2012,0
77,University of Colorado Boulder,United States of America,39.5,30.8,42.6,98.2,29325,16.1,0.08,2012,46,83,88,48,71,54,56,51,31,1.45,2.98,69.4,0,Medium,High,1,1,47.35,71.32,51.89,0.83,1.38,0.98,0.25,2.22,0.57,-0.56,1.69,University of Colorado Boulder | United States of America | 2012,0
350,University of Coimbra,Portugal,20.6,55.8,11.6,27.4,22795,19.0,0.11,2012,350,354,522,214,418,419,627,45,0,0.51,11.26,357.8,0,Low,Low,0,0,18.32,35.12,45.25,1.12,0.78,0.99,-1.14,-2.19,0.02,0.42,-0.99,University of Coimbra | Portugal | 2012,1
201,University of Cincinnati,United States of America,29.0,20.6,24.9,69.0,36108,15.7,0.06,2012,201,246,109,214,148,168,144,49,0,0.69,13.63,127.0,0,Low,High,0,0,47.35,71.32,51.89,0.61,0.97,0.94,-0.52,0.4,1.13,-1.3,-0.15,University of Cincinnati | United States of America | 2012,0
9,University of Chicago,United States of America,89.4,58.8,90.8,99.4,14221,6.9,0.21,2012,11,15,26,8,34,20,28,74,-2,6.38,1.16,49.13,0,High,High,1,1,47.35,71.32,51.89,1.89,1.39,1.43,3.9,2.29,-0.7,2.98,1.77,University of Chicago | United States of America | 2012,1
