entity_id,in_zscore,in_iqr,in_isolation_forest,methods_flagged,university_name,country,year
Aalborg University | Denmark | 2012,0,1,0,1,Aalborg University,Denmark,2012
Aalborg University | Denmark | 2013,0,1,0,1,Aalborg University,Denmark,2013
Aalborg University | Denmark | 2014,0,1,0,1,Aalborg University,Denmark,2014
Aalborg University | Denmark | 2015,0,1,0,1,Aalborg University,Denmark,2015
Aalto University | Finland | 2012,0,1,0,1,Aalto University,Finland,2012
Aalto University | Finland | 2013,0,1,0,1,Aalto University,Finland,2013
Aalto University | Finland | 2014,0,1,0,1,Aalto University,Finland,2014
Aalto University | Finland | 2015,0,1,0,1,Aalto University,Finland,2015
Aarhus University | Denmark | 2012,0,1,0,1,Aarhus University,Denmark,2012
Aarhus University | Denmark | 2013,0,1,0,1,Aarhus University,Denmark,2013
Aarhus University | Denmark | 2014,0,1,0,1,Aarhus University,Denmark,2014
Aarhus University | Denmark | 2015,0,1,0,1,Aarhus University,Denmark,2015
Aberystwyth University | United Kingdom | 2012,0,1,0,1,Aberystwyth University,United Kingdom,2012
Aberystwyth University | United Kingdom | 2013,0,1,0,1,Aberystwyth University,United Kingdom,2013
Aberystwyth University | United Kingdom | 2014,1,1,0,2,Aberystwyth University,United Kingdom,2014
Aberystwyth University | United Kingdom | 2015,1,1,0,2,Aberystwyth University,United Kingdom,2015
Alexandria University | Egypt | 2012,1,1,1,3,Alexandria University,Egypt,2012
Alexandria University | Egypt | 2014,1,1,1,3,Alexandria University,Egypt,2014
Alexandria University | Egypt | 2015,1,1,1,3,Alexandria University,Egypt,2015
Arizona State University | United States of America | 2012,1,1,0,2,Arizona State University,United States of America,2012
Arizona State University | United States of America | 2013,1,1,0,2,Arizona State University,United States of America,2013
Arizona State University | United States of America | 2014,1,1,0,2,Arizona State University,United States of America,2014
Arizona State University | United States of America | 2015,1,1,0,2,Arizona State University,United States of America,2015
Aston University | United Kingdom | 2012,1,1,0,2,Aston University,United Kingdom,2012
Aston University | United Kingdom | 2014,0,1,0,1,Aston University,United Kingdom,2014
Aston University | United Kingdom | 2015,1,1,0,2,Aston University,United Kingdom,2015
