entity_id,in_zscore,in_iqr,in_isolation_forest,methods_flagged,university_name,country,year
Aberystwyth University | United Kingdom | 2014,1,1,0,2,Aberystwyth University,United Kingdom,2014
Aberystwyth University | United Kingdom | 2015,1,1,0,2,Aberystwyth University,United Kingdom,2015
Alexandria University | Egypt | 2012,1,1,1,3,Alexandria University,Egypt,2012
Alexandria University | Egypt | 2014,1,1,1,3,Alexandria University,Egypt,2014
Alexandria University | Egypt | 2015,1,1,1,3,Alexandria University,Egypt,2015
Arizona State University | United States of America | 2012,1,1,0,2,Arizona State University,United States of America,2012
Arizona State University | United States of America | 2013,1,1,0,2,Arizona State University,United States of America,2013
Arizona State University | United States of America | 2014,1,1,0,2,Arizona State University,United States of America,2014
Arizona State University | United States of America | 2015,1,1,0,2,Arizona State University,United States of America,2015
Aston University | United Kingdom | 2012,1,1,0,2,Aston University,United Kingdom,2012
Aston University | United Kingdom | 2015,1,1,0,2,Aston University,United Kingdom,2015
Auburn University | USA | 2014,1,1,0,2,Auburn University,USA,2014
Auburn University | USA | 2015,1,1,0,2,Auburn University,USA,2015
Auburn University | United States of America | 2012,1,1,0,2,Auburn University,United States of America,2012
Australian National University | Australia | 2012,1,1,1,3,Australian National University,Australia,2012
Australian National University | Australia | 2013,1,1,1,3,Australian National University,Australia,2013
Australian National University | Australia | 2014,0,1,1,2,Australian National University,Australia,2014
Australian National University | Australia | 2015,0,1,1,2,Australian National University,Australia,2015
Bar-Ilan University | Israel | 2014,1,1,0,2,Bar-Ilan University,Israel,2014
Bar-Ilan University | Israel | 2015,1,1,0,2,Bar-Ilan University,Israel,2015
Bielefeld University | Germany | 2012,1,1,0,2,Bielefeld University,Germany,2012
Bielefeld University | Germany | 2013,1,1,0,2,Bielefeld University,Germany,2013
Bielefeld University | Germany | 2014,1,1,0,2,Bielefeld University,Germany,2014
Bielefeld University | Germany | 2015,1,1,0,2,Bielefeld University,Germany,2015
Bilkent University | Turkey | 2014,1,1,0,2,Bilkent University,Turkey,2014
Bilkent University | Turkey | 2015,1,1,0,2,Bilkent University,Turkey,2015
"Birkbeck, University of London | United Kingdom | 2014",1,1,0,2,"Birkbeck, University of London",United Kingdom,2014
"Birkbeck, University of London | United Kingdom | 2015",1,1,0,2,"Birkbeck, University of London",United Kingdom,2015
Boğaziçi University | Turkey | 2014,1,1,0,2,Boğaziçi University,Turkey,2014
Boğaziçi University | Turkey | 2015,1,1,1,3,Boğaziçi University,Turkey,2015
California Institute of Technology | United States of America | 2012,1,1,1,3,California Institute of Technology,United States of America,2012
California Institute of Technology | United States of America | 2013,1,1,1,3,California Institute of Technology,United States of America,2013
California Institute of Technology | United States of America | 2014,1,1,1,3,California Institute of Technology,United States of America,2014
California Institute of Technology | United States of America | 2015,1,1,1,3,California Institute of Technology,United States of America,2015
Carleton University | Canada | 2014,1,1,0,2,Carleton University,Canada,2014
Carleton University | Canada | 2015,1,1,0,2,Carleton University,Canada,2015
Carnegie Mellon University | United States of America | 2012,0,1,1,2,Carnegie Mellon University,United States of America,2012
Carnegie Mellon University | United States of America | 2013,1,1,1,3,Carnegie Mellon University,United States of America,2013
Carnegie Mellon University | United States of America | 2014,0,1,1,2,Carnegie Mellon University,United States of America,2014
Carnegie Mellon University | United States of America | 2015,0,1,1,2,Carnegie Mellon University,United States of America,2015
Charles Darwin University | Australia | 2014,1,1,0,2,Charles Darwin University,Australia,2014
Charles Darwin University | Australia | 2015,1,1,0,2,Charles Darwin University,Australia,2015
Charles University in Prague | Czech Republic | 2012,1,1,0,2,Charles University in Prague,Czech Republic,2012
"China Medical University, Taiwan | Taiwan | 2014",1,1,0,2,"China Medical University, Taiwan",Taiwan,2014
Columbia University | United States of America | 2012,1,1,1,3,Columbia University,United States of America,2012
Columbia University | United States of America | 2013,1,1,1,3,Columbia University,United States of America,2013
Columbia University | United States of America | 2014,1,1,1,3,Columbia University,United States of America,2014
Columbia University | United States of America | 2015,1,1,1,3,Columbia University,United States of America,2015
Cornell University | United States of America | 2012,1,1,1,3,Cornell University,United States of America,2012
Cornell University | United States of America | 2013,1,1,1,3,Cornell University,United States of America,2013
Cornell University | United States of America | 2014,1,1,1,3,Cornell University,United States of America,2014
Cornell University | United States of America | 2015,1,1,1,3,Cornell University,United States of America,2015
Creighton University | United States of America | 2014,0,1,1,2,Creighton University,United States of America,2014
Creighton University | United States of America | 2015,0,1,1,2,Creighton University,United States of America,2015
Dartmouth College | United States of America | 2014,0,1,1,2,Dartmouth College,United States of America,2014
Dartmouth College | United States of America | 2015,1,1,1,3,Dartmouth College,United States of America,2015
Duke University | United States of America | 2012,0,1,1,2,Duke University,United States of America,2012
Duke University | United States of America | 2013,0,1,1,2,Duke University,United States of America,2013
Duke University | United States of America | 2014,0,1,1,2,Duke University,United States of America,2014
Duke University | United States of America | 2015,0,1,1,2,Duke University,United States of America,2015
ETH Zurich – Swiss Federal Institute of Technology Zurich | Switzerland | 2012,1,1,1,3,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,2012
ETH Zurich – Swiss Federal Institute of Technology Zurich | Switzerland | 2013,1,1,1,3,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,2013
ETH Zurich – Swiss Federal Institute of Technology Zurich | Switzerland | 2014,1,1,1,3,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,2014
ETH Zurich – Swiss Federal Institute of Technology Zurich | Switzerland | 2015,1,1,1,3,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,2015
Emory University | United States of America | 2014,1,1,0,2,Emory University,United States of America,2014
Federico Santa María Technical University | Chile | 2014,0,1,1,2,Federico Santa María Technical University,Chile,2014
Federico Santa María Technical University | Chile | 2015,1,1,1,3,Federico Santa María Technical University,Chile,2015
Florida Institute of Technology | United States of America | 2014,1,1,1,3,Florida Institute of Technology,United States of America,2014
Florida Institute of Technology | United States of America | 2015,1,1,1,3,Florida Institute of Technology,United States of America,2015
Georgia Institute of Technology | United States of America | 2013,0,1,1,2,Georgia Institute of Technology,United States of America,2013
Harvard University | United States of America | 2012,1,1,1,3,Harvard University,United States of America,2012
Harvard University | United States of America | 2013,1,1,1,3,Harvard University,United States of America,2013
Harvard University | United States of America | 2014,1,1,1,3,Harvard University,United States of America,2014
Harvard University | United States of America | 2015,1,1,1,3,Harvard University,United States of America,2015
Hebrew University of Jerusalem | Israel | 2012,0,1,1,2,Hebrew University of Jerusalem,Israel,2012
Heriot-Watt University | United Kingdom | 2012,1,1,1,3,Heriot-Watt University,United Kingdom,2012
Heriot-Watt University | United Kingdom | 2013,1,1,0,2,Heriot-Watt University,United Kingdom,2013
Heriot-Watt University | United Kingdom | 2014,1,1,1,3,Heriot-Watt University,United Kingdom,2014
Heriot-Watt University | United Kingdom | 2015,1,1,0,2,Heriot-Watt University,United Kingdom,2015
Hong Kong Baptist University | Hong Kong | 2014,1,1,0,2,Hong Kong Baptist University,Hong Kong,2014
Hong Kong Baptist University | Hong Kong | 2015,1,1,0,2,Hong Kong Baptist University,Hong Kong,2015
Hong Kong University of Science and Technology | Hong Kong | 2012,0,1,1,2,Hong Kong University of Science and Technology,Hong Kong,2012
Hong Kong University of Science and Technology | Hong Kong | 2014,0,1,1,2,Hong Kong University of Science and Technology,Hong Kong,2014
Hong Kong University of Science and Technology | Hong Kong | 2015,0,1,1,2,Hong Kong University of Science and Technology,Hong Kong,2015
Humboldt University of Berlin | Germany | 2012,1,1,0,2,Humboldt University of Berlin,Germany,2012
Humboldt University of Berlin | Germany | 2013,1,1,0,2,Humboldt University of Berlin,Germany,2013
Humboldt University of Berlin | Germany | 2014,1,1,0,2,Humboldt University of Berlin,Germany,2014
Humboldt University of Berlin | Germany | 2015,1,1,0,2,Humboldt University of Berlin,Germany,2015
Imperial College London | United Kingdom | 2012,1,1,1,3,Imperial College London,United Kingdom,2012
