country,year,world_rank,cwur_world_rank,cwur_national_rank,teaching,international,research,citations,num_students,student_staff_ratio,international_students,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
Argentina,2014,748.5,748.5,2.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,314.25,477.25,201.5,2503,2500,2178,2857,2948,44.75
Argentina,2015,681.33,681.33,2.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,286.67,526.67,205.33,1539,1705,1477,1926,2613,44.33
Australia,2012,230.0,231.64,11.91,29.24,76.61,31.88,43.26,26299.27,25.7,0.26,278.45,369.55,192.68,8176,8302,9189,9145,10109,45.68
Australia,2013,219.89,224.58,11.89,34.97,75.78,40.92,53.81,26095.95,27.44,0.28,274.32,351.0,194.84,7208,7313,7924,7891,8448,45.68
Australia,2014,371.17,510.59,14.28,29.09,72.88,31.29,53.51,24981.52,24.94,0.25,299.69,393.79,197.69,12997,12329,13091,14315,14309,45.93
Australia,2015,358.47,488.97,14.4,30.76,72.11,32.97,55.7,25172.27,25.18,0.25,311.1,418.07,204.97,12983,12571,13500,14494,15000,45.67
Austria,2012,228.6,228.6,4.4,28.44,76.04,18.84,50.62,23901.8,29.06,0.23,290.4,355.4,168.4,2317,1933,1996,2055,2337,45.4
Austria,2013,252.83,252.83,4.0,33.05,71.88,23.63,56.82,21155.83,24.7,0.24,302.17,383.17,176.0,2580,2168,2244,2273,2733,45.5
Austria,2014,481.08,558.0,6.5,31.12,62.39,25.98,59.57,21053.42,20.45,0.19,326.58,418.75,191.83,6917,5928,6350,5958,6253,45.33
Austria,2015,492.33,545.25,6.5,31.46,63.69,26.62,61.34,21053.42,20.45,0.19,336.33,452.92,195.42,6904,5995,6264,6010,6604,44.92
Belgium,2012,203.0,203.0,6.29,30.73,63.67,32.27,53.76,24237.29,31.06,0.19,228.0,385.71,154.86,1808,1883,1302,1670,2029,47.14
Belgium,2013,197.86,197.86,6.29,36.1,60.41,39.71,61.94,24237.29,31.06,0.19,228.0,385.71,154.86,1808,1883,1302,1670,2029,47.14
Belgium,2014,307.64,326.82,6.64,33.38,57.93,33.67,64.9,23042.27,25.65,0.17,251.0,354.55,173.18,4223,4379,3226,3750,3914,47.18
Belgium,2015,334.09,342.45,6.64,35.18,58.25,34.33,62.59,23042.27,25.65,0.17,263.91,400.09,179.55,4440,4407,3269,3803,4131,46.55
Brazil,2012,227.0,227.0,9.5,57.0,21.0,45.55,17.0,54248.5,14.95,0.04,327.5,247.0,212.0,464,588,493,565,1150,47.5
Brazil,2013,204.5,204.5,9.5,57.35,22.7,56.25,28.35,54248.5,14.95,0.04,327.5,247.0,212.0,464,588,493,565,1150,47.5
Brazil,2014,726.26,721.26,9.95,34.9,48.3,31.8,59.03,24456.0,16.07,0.13,347.26,419.79,210.0,11639,13483,11099,13581,11225,44.74
Brazil,2015,732.0,728.37,9.95,35.24,48.41,31.91,59.18,24456.0,16.07,0.13,349.95,462.42,217.58,11568,13493,11525,13737,12635,44.63
Bulgaria,2014,826.0,826.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,234.0,478.0,210.0,798,874,406,819,737,44.0
Bulgaria,2015,845.0,845.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,254.0,567.0,218.0,814,881,645,796,871,44.0
Canada,2012,168.44,172.56,10.67,39.17,62.19,43.71,55.21,31793.56,22.85,0.16,275.67,253.78,178.11,3875,4452,3383,4049,7355,47.56
Canada,2013,181.89,183.21,10.68,40.42,60.01,44.65,61.33,31553.21,22.5,0.16,271.68,250.53,177.89,4084,4721,3580,4249,7475,47.37
Canada,2014,395.27,426.3,16.55,35.48,57.74,35.15,61.91,27055.3,19.83,0.15,306.15,306.24,191.33,13329,14432,11811,13705,14985,47.3
Canada,2015,409.74,436.09,17.03,36.26,58.71,36.15,63.27,26875.76,19.72,0.15,313.38,322.18,199.03,14254,15158,11683,14676,17874,46.65
Chile,2012,350.0,350.0,1.0,17.1,45.5,16.3,30.1,25075.0,15.3,0.07,336.0,201.0,214.0,448,310,569,392,411,45.0
Chile,2014,667.25,667.25,2.5,24.42,49.25,21.78,63.75,19673.75,20.42,0.09,318.0,374.25,210.0,2554,2075,2279,2494,1885,44.75
Chile,2015,464.25,641.5,2.5,24.42,49.25,21.78,63.75,19673.75,20.42,0.09,329.75,361.5,218.0,2531,2035,2470,2512,2035,44.5
China,2012,236.7,236.7,7.5,45.04,25.88,30.47,38.61,37105.4,12.59,0.08,340.2,213.4,214.0,1426,3663,3532,2721,2057,48.1
China,2013,214.44,214.44,7.0,48.3,34.57,37.67,52.37,35347.0,12.6,0.08,338.56,191.67,214.44,1837,3118,3090,2743,1888,48.44
China,2014,688.73,691.87,41.76,34.57,48.82,30.01,61.04,23298.66,15.71,0.13,341.65,383.84,210.1,50382,62800,53713,59996,40516,45.04
China,2015,664.0,669.18,41.84,34.61,48.93,30.34,61.5,23327.29,15.7,0.13,351.12,415.41,218.0,46469,60905,51051,56266,46499,44.8
Colombia,2013,351.0,351.0,18.0,15.5,53.0,11.4,68.2,15773.0,16.9,0.02,355.0,424.0,210.0,404,404,368,402,426,45.0
Colombia,2014,579.67,579.67,7.0,27.37,52.83,23.73,71.5,19225.0,16.43,0.1,355.0,290.33,210.0,2188,1702,1383,2270,1800,44.67
Colombia,2015,623.67,623.67,7.0,28.3,52.47,24.27,71.67,19225.0,16.43,0.1,363.0,308.33,215.33,2173,1697,1608,2233,2036,44.33
Croatia,2014,564.0,564.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,572,528,406,460,426,45.0
Croatia,2015,551.0,551.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,553,541,428,471,650,45.0
Cyprus,2014,953.0,953.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,802,887,609,923,737,44.0
Cyprus,2015,928.0,928.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,820,896,645,886,816,44.0
Czech Republic,2012,301.0,301.0,1.0,32.3,51.4,24.6,31.0,51438.0,13.0,0.15,288.0,519.0,163.0,236,234,201,242,636,46.0
Czech Republic,2013,301.0,301.0,1.0,34.7,50.3,26.2,42.0,51438.0,13.0,0.15,288.0,519.0,163.0,236,234,201,242,636,46.0
Czech Republic,2014,726.2,718.6,3.0,32.86,51.76,28.26,58.8,27048.4,15.56,0.14,347.6,478.0,210.0,3373,3021,2835,3235,3329,45.0
Czech Republic,2015,684.6,678.4,3.0,33.34,51.9,29.14,60.1,27048.4,15.56,0.14,337.2,565.6,197.6,3276,3003,2578,3100,3176,44.4
Denmark,2012,198.0,189.6,3.0,27.82,71.66,27.42,57.6,20212.4,10.26,0.16,293.8,341.0,158.4,1389,1358,1013,1175,1036,46.6
Denmark,2013,204.4,192.0,3.0,31.22,70.28,33.9,66.22,20212.4,10.26,0.16,293.8,341.0,159.0,1346,1335,963,1175,1036,47.2
Denmark,2014,196.4,268.0,3.0,28.4,71.56,29.62,65.66,20212.4,10.26,0.16,290.4,334.2,157.0,1360,1328,1015,1195,1429,48.4
Denmark,2015,217.2,258.2,3.0,29.62,70.14,31.82,64.14,20212.4,10.26,0.16,302.4,366.0,161.6,1331,1329,929,1157,1353,48.2
Egypt,2012,301.0,301.0,3.0,15.2,31.6,7.8,61.4,127431.0,23.3,0.01,245.0,522.0,214.0,980,929,722,968,804,44.0
Egypt,2014,919.0,919.0,2.5,29.15,46.45,24.71,62.3,47571.0,17.98,0.11,318.5,476.75,201.5,3533,3501,2627,3659,2948,44.25
Egypt,2015,936.5,936.5,2.5,29.15,46.45,24.71,62.3,47571.0,17.98,0.11,313.75,542.25,208.5,3556,3439,2312,3652,3484,44.0
Estonia,2012,350.0,350.0,1.0,17.8,42.0,17.8,34.4,10269.0,13.0,0.03,359.0,522.0,214.0,593,353,387,476,342,45.0
Estonia,2013,351.0,351.0,1.0,18.6,42.4,27.4,52.4,10269.0,13.0,0.03,359.0,522.0,214.0,593,353,387,476,342,45.0
Estonia,2014,351.0,556.0,1.0,20.3,43.7,21.2,46.2,10269.0,13.0,0.03,353.0,478.0,210.0,600,388,406,496,259,45.0
Estonia,2015,537.0,537.0,1.0,18.6,42.4,21.2,46.2,10269.0,13.0,0.03,365.0,567.0,218.0,586,318,368,457,426,45.0
Finland,2012,268.8,268.4,3.2,26.32,41.8,27.22,47.4,14554.6,16.14,0.08,308.0,326.2,187.0,1638,1657,2209,1504,2274,45.0
Finland,2013,262.6,260.4,4.2,29.9,44.9,27.72,56.34,14030.0,16.26,0.08,302.6,325.8,187.4,1794,1798,2168,1785,2521,45.0
Finland,2014,379.11,447.44,5.0,28.95,47.78,25.92,57.43,16147.67,16.06,0.09,310.11,374.0,195.22,4115,3903,4515,3897,4873,46.0
Finland,2015,369.3,442.9,6.3,29.5,50.56,28.56,58.73,14881.5,16.84,0.1,325.5,421.1,206.5,4509,4144,5215,4322,6003,45.3
France,2012,140.45,138.36,9.0,35.77,63.02,24.05,72.08,19255.91,12.89,0.19,164.0,278.55,115.64,2404,2079,2460,3608,3108,46.82
France,2013,161.79,156.36,9.64,38.51,61.29,31.54,72.16,19813.93,12.64,0.18,201.86,301.07,139.64,3930,3459,3776,4388,4163,46.93
France,2014,521.32,524.15,25.08,34.31,53.95,29.77,65.45,20865.47,15.28,0.15,290.42,436.7,190.75,28570,24763,26398,28332,26434,46.32
France,2015,522.42,520.92,24.6,34.28,54.56,30.0,65.38,20863.83,15.26,0.15,287.73,489.1,195.58,28337,24669,26396,28062,29484,45.92
Germany,2012,181.21,181.29,15.21,37.07,55.47,28.33,59.34,27114.67,33.98,0.14,251.92,350.67,161.38,6338,6099,6331,5979,8962,46.25
Germany,2013,187.3,187.3,15.56,39.81,53.55,31.86,66.71,28644.96,38.04,0.13,247.0,372.89,166.93,7024,6768,7128,6526,9890,46.78
Germany,2014,364.7,372.83,26.59,34.5,53.03,28.62,64.57,24374.27,26.36,0.14,279.02,399.59,186.2,24758,22505,25022,23099,27349,46.39
Germany,2015,348.1,361.57,26.73,35.08,53.07,30.22,65.21,24405.59,25.79,0.14,286.7,442.65,192.81,23896,21521,22756,21948,27644,46.11
Greece,2012,276.0,276.0,3.0,13.1,42.6,12.6,66.7,14650.0,26.9,0.05,361.0,522.0,214.0,486,508,458,431,804,45.0
Greece,2013,301.0,301.0,3.0,17.1,44.4,16.3,68.6,14650.0,26.9,0.05,361.0,522.0,214.0,486,508,458,431,804,45.0
Greece,2014,556.71,592.43,4.0,31.57,50.79,28.39,63.03,20050.86,17.73,0.13,328.14,444.86,210.0,3482,4993,3326,3707,4874,45.0
Greece,2015,554.86,585.43,4.0,31.69,50.77,28.41,63.23,20050.86,17.73,0.13,341.29,514.57,218.0,3572,5091,3929,3643,5842,44.71
Hong Kong,2012,161.17,161.17,3.33,42.05,69.38,45.4,51.43,15276.0,15.93,0.29,303.17,352.67,195.33,1646,3617,2224,1937,2077,46.5
Hong Kong,2013,159.67,159.67,3.33,46.95,68.97,51.95,56.27,15276.0,15.93,0.29,303.17,352.67,195.33,1646,3617,2224,1937,2077,46.5
Hong Kong,2014,160.33,347.0,3.5,39.92,68.7,44.57,60.02,15276.0,15.93,0.29,297.0,336.33,189.67,1632,3629,2206,1939,2190,46.67
Hong Kong,2015,152.83,347.5,3.5,40.62,71.2,45.92,65.28,15276.0,15.93,0.29,309.17,369.17,201.0,1660,3601,2241,1935,1965,45.83
Hungary,2014,671.17,671.17,3.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,290.83,478.0,190.33,4195,3863,3549,3730,3218,45.0
Hungary,2015,697.33,697.33,3.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,302.17,567.0,198.83,4255,3839,3495,3904,3455,44.17
Iceland,2012,276.0,276.0,1.0,10.7,56.9,17.3,62.4,13960.0,25.9,0.08,361.0,522.0,214.0,620,303,316,389,788,45.0
Iceland,2013,251.0,251.0,1.0,11.4,59.9,28.0,71.0,13960.0,25.9,0.08,361.0,522.0,214.0,620,303,316,389,788,45.0
Iceland,2014,251.0,516.0,1.0,12.5,59.9,24.3,71.1,13960.0,25.9,0.08,355.0,478.0,210.0,629,311,310,409,737,45.0
Iceland,2015,251.0,461.0,1.0,14.9,59.1,24.7,74.8,13960.0,25.9,0.08,367.0,567.0,218.0,612,295,321,369,839,45.0
India,2012,301.0,301.0,5.0,43.8,14.3,15.7,38.8,8327.0,14.9,0.01,361.0,492.0,214.0,522,800,627,712,148,45.0
India,2013,276.0,276.0,7.67,40.63,17.2,30.7,43.47,8772.0,17.03,0.01,361.0,355.0,214.0,1864,2658,1951,1966,1487,45.0
India,2014,559.8,626.13,8.0,33.47,36.07,27.43,56.65,15231.4,16.15,0.08,326.0,334.0,210.0,9970,12015,8673,10507,7882,44.87
India,2015,592.69,650.12,8.5,32.92,37.13,27.99,57.68,15588.88,16.16,0.08,322.94,363.31,217.44,10986,13231,9899,11562,9928,44.5
Iran,2012,301.0,301.0,2.0,28.5,12.7,29.7,19.3,10977.0,18.7,0.0,236.0,522.0,214.0,576,944,502,758,804,44.0
Iran,2013,301.0,301.0,2.0,32.9,16.7,42.8,34.2,10977.0,18.7,0.0,236.0,522.0,214.0,576,944,502,758,804,44.0
Iran,2014,833.88,906.62,4.5,31.65,43.64,30.83,59.19,18455.88,17.8,0.11,332.0,478.0,210.0,5694,7597,5213,7066,5896,44.12
Iran,2015,753.88,873.75,4.5,31.52,43.48,30.51,59.36,18455.88,17.8,0.11,312.38,567.0,218.0,5697,7591,5694,6784,6968,44.0
Ireland,2014,652.5,652.5,5.0,31.52,59.2,27.49,57.82,16331.5,16.05,0.26,346.0,375.5,205.75,2818,2800,1753,2546,1432,45.25
Ireland,2015,669.67,669.67,5.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,357.33,391.33,212.0,1984,2029,1438,2023,1016,45.33
Israel,2012,161.4,89.6,3.2,39.08,46.08,44.93,38.74,18779.6,17.34,0.06,88.6,156.8,67.2,785,761,1031,1135,441,54.0
Israel,2013,130.25,44.25,2.5,44.52,49.28,49.04,51.82,19098.75,17.67,0.07,41.75,101.0,32.0,386,383,404,647,177,52.5
Israel,2014,313.0,259.57,4.0,35.3,51.01,35.11,50.21,19400.0,17.01,0.09,160.57,332.14,102.57,1904,1721,2730,2204,1168,52.29
Israel,2015,314.14,264.86,4.0,35.89,51.6,35.45,51.17,19400.0,17.01,0.09,167.14,335.57,113.71,1866,1766,2784,2211,1166,51.14
Italy,2012,282.93,266.93,16.5,23.31,33.95,18.51,48.69,43652.43,34.15,0.07,296.36,441.86,196.57,4593,5425,4892,4759,6602,45.71
Italy,2013,295.64,278.57,14.14,26.07,36.97,21.46,59.31,44455.36,35.71,0.06,287.57,427.43,192.57,4327,4955,4150,4219,7178,46.07
Italy,2014,483.85,504.13,24.0,30.46,46.81,26.59,62.9,29020.74,23.15,0.11,328.79,454.98,198.26,22177,23446,22476,20578,28784,45.64
Italy,2015,468.83,490.38,23.88,30.82,47.43,26.65,63.7,29173.5,23.95,0.11,337.08,516.48,203.71,22892,24015,22027,20818,32015,45.21
Japan,2012,225.69,206.56,10.44,44.62,21.16,35.84,39.42,18885.12,8.74,0.08,210.44,222.0,139.12,3889,3745,3947,3907,2347,51.56
Japan,2013,217.38,171.46,8.08,49.33,26.02,41.63,50.75,20440.46,8.37,0.09,184.46,166.23,121.62,2467,2353,2586,2715,1687,52.31
Japan,2014,552.18,548.23,37.5,35.51,45.9,31.01,58.98,20504.32,14.59,0.13,303.86,373.58,193.7,47143,40903,36840,40611,27271,46.95
Japan,2015,590.04,579.58,37.5,35.34,46.45,30.99,59.37,20504.32,14.59,0.13,315.26,441.74,201.65,49390,42096,39848,42771,28615,46.19
Lebanon,2014,561.0,561.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,103.0,205.0,210.0,892,850,800,849,737,45.0
Lebanon,2015,682.0,682.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,114.0,247.0,218.0,915,892,812,880,871,44.0
Lithuania,2014,838.0,838.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,326.0,478.0,210.0,790,728,609,769,737,44.0
Lithuania,2015,791.0,791.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,340.0,567.0,218.0,799,642,645,715,684,44.0
Macau,2015,276.0,276.0,18.0,17.1,73.3,20.3,68.1,8521.0,14.9,0.31,355.0,424.0,210.0,404,404,368,402,426,45.0
Malaysia,2014,528.33,528.33,2.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,357.0,210.0,2302,2684,1902,2567,627,45.33
Malaysia,2015,530.0,530.0,2.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,424.0,218.0,2101,2665,1668,2539,482,44.67
Mexico,2013,351.0,351.0,1.0,31.0,33.2,31.6,24.6,137378.0,11.6,0.05,290.0,512.0,214.0,190,212,387,328,484,46.0
Mexico,2014,546.0,546.0,1.5,32.4,42.3,30.98,43.6,79164.5,13.9,0.1,310.5,478.0,210.0,730,776,812,1082,788,45.5
Mexico,2015,560.0,560.0,1.5,32.4,42.3,30.98,43.6,79164.5,13.9,0.1,306.0,556.5,218.0,772,798,796,1071,1106,45.0
Morocco,2015,301.0,301.0,18.0,16.3,45.1,6.5,83.0,56060.0,38.7,0.01,355.0,424.0,210.0,404,404,368,402,426,45.0
Netherlands,2012,137.69,140.54,6.77,36.5,62.13,45.68,60.98,17375.15,17.42,0.17,269.54,300.62,183.85,2410,3410,2598,2514,4755,47.31
Netherlands,2013,108.15,109.46,6.85,44.98,60.94,57.87,66.9,17375.15,17.42,0.17,271.08,329.62,184.0,2385,3379,2585,2514,4881,47.92
Netherlands,2014,108.92,234.85,7.0,37.47,63.6,49.61,68.05,17375.15,17.42,0.17,268.31,333.15,179.92,2420,3373,2817,2555,5225,48.31
Netherlands,2015,119.31,228.31,7.0,38.75,65.55,51.28,66.92,17375.15,17.42,0.17,273.54,346.69,191.0,2348,3392,2336,2472,5137,48.15
New Zealand,2012,262.83,262.83,3.5,19.55,85.3,23.32,42.93,17829.33,18.43,0.22,300.5,342.67,214.0,3278,2910,2811,3332,3521,45.33
New Zealand,2013,265.17,265.17,3.5,23.65,84.18,27.33,53.75,17829.33,18.43,0.22,300.5,342.67,214.0,3278,2910,2811,3332,3521,45.33
New Zealand,2014,316.0,524.83,3.5,20.98,83.61,24.8,52.72,17829.33,18.43,0.22,294.0,321.67,210.0,3300,2875,2707,3359,3267,45.33
New Zealand,2015,335.33,556.5,3.5,22.55,82.84,24.7,52.44,17829.33,18.43,0.22,307.17,364.0,218.0,3255,2943,2917,3306,3773,44.83
Norway,2012,224.75,202.25,6.0,28.45,64.65,26.2,54.08,16635.25,14.0,0.12,264.75,297.0,151.25,1020,1067,933,1014,1681,45.5
Norway,2013,244.75,214.75,6.0,29.42,62.32,28.42,58.92,16635.25,14.0,0.12,264.75,297.0,151.5,1020,1067,933,1014,1681,46.0
Norway,2014,390.0,400.83,5.5,30.55,58.3,27.4,60.72,18073.83,14.73,0.13,298.33,381.17,182.33,2285,2077,1804,2187,3283,46.33
Norway,2015,388.33,382.0,5.5,31.23,57.18,28.38,60.47,18073.83,14.73,0.13,293.5,421.67,163.17,2280,2082,1691,2166,3532,46.33
Poland,2012,301.0,301.0,2.0,23.35,37.65,15.85,43.7,46063.5,12.8,0.06,239.5,521.0,181.0,804,941,1023,795,1130,45.0
Poland,2013,351.0,351.0,2.0,22.95,40.75,16.1,51.1,46063.5,12.8,0.06,239.5,521.0,181.0,804,941,1023,795,1130,45.0
Poland,2014,745.22,758.33,5.0,31.02,49.24,26.85,61.66,26531.56,15.44,0.12,300.67,442.89,202.78,6075,6739,5393,6791,5722,44.44
Poland,2015,756.67,774.56,5.0,31.26,49.11,26.77,61.54,26531.56,15.44,0.12,300.22,514.44,210.44,6165,6824,4995,6844,6251,44.22
Portugal,2012,325.5,325.5,6.75,18.32,48.62,12.85,35.12,21293.25,18.38,0.09,289.5,460.0,182.0,1506,1880,1812,1783,1503,45.25
Portugal,2013,351.0,351.0,4.0,21.6,45.33,20.63,50.13,20867.0,18.47,0.09,270.0,472.0,172.67,1273,1703,1142,1567,957,45.33
Portugal,2014,524.57,562.71,4.0,25.0,49.25,21.43,48.61,25021.0,17.76,0.11,311.14,470.71,183.71,3333,3771,3460,3770,3130,45.29
Portugal,2015,526.0,552.29,4.0,25.43,49.55,21.09,50.08,25021.0,17.76,0.11,322.57,516.57,190.29,3269,3753,3361,3721,3340,44.86
Puerto Rico,2014,977.0,977.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,999,778,609,956,737,44.0
Puerto Rico,2015,962.0,962.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,998,793,645,921,871,44.0
Republic of Ireland,2012,255.4,255.4,7.4,23.38,79.4,19.44,51.0,15047.8,23.92,0.18,279.0,393.0,212.4,3106,2563,2500,2666,2037,45.0
Republic of Ireland,2013,250.0,250.0,7.4,29.32,74.2,25.7,58.08,15047.8,23.92,0.18,279.0,393.0,212.4,3106,2563,2500,2666,2037,45.0
Republic of Ireland,2014,243.6,500.2,7.4,27.36,74.48,23.24,60.88,15047.8,23.92,0.18,273.4,384.2,210.0,3103,2580,2524,2673,2064,45.0
Republic of Ireland,2015,248.4,475.2,7.0,29.84,77.68,24.86,60.5,14011.8,21.44,0.28,314.8,420.0,216.4,2998,2544,2044,2506,1906,45.0
Romania,2014,957.0,957.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,321.0,478.0,210.0,837,776,609,937,737,44.0
Romania,2015,986.5,986.5,1.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,302.0,567.0,218.0,1719,1659,1457,1933,1742,44.0
Russia,2014,600.5,600.5,2.5,31.1,40.95,18.45,36.8,13983.5,6.15,0.1,92.0,303.5,210.0,1494,1530,1218,1750,1474,45.0
Russia,2015,470.33,470.33,3.0,35.07,46.97,26.8,42.77,20912.67,12.53,0.12,125.33,385.33,218.0,2527,1878,1885,2425,2526,45.33
Russian Federation,2012,313.0,313.0,1.5,42.75,45.7,23.6,7.05,25829.0,6.45,0.14,28.0,182.5,132.0,884,844,914,1107,1513,50.0
Russian Federation,2013,213.5,158.0,9.5,42.2,34.55,29.35,59.85,19311.5,7.5,0.14,184.5,262.5,130.5,505,505,469,754,527,45.0
Russian Federation,2014,226.0,48.0,1.0,54.4,55.7,36.6,27.0,30822.0,7.7,0.2,14.0,210.0,50.0,264,247,310,361,737,56.0
Russian Federation,2015,248.5,522.0,3.0,40.25,52.1,29.65,52.15,18976.5,7.4,0.16,90.5,371.0,133.0,1087,1112,932,1335,1732,49.0
Saudi Arabia,2013,301.0,301.0,4.0,19.7,71.0,10.3,63.4,35889.0,8.4,0.21,361.0,460.0,214.0,719,559,627,996,738,44.0
Saudi Arabia,2014,544.25,721.75,2.5,26.8,62.32,22.8,53.92,29614.25,13.55,0.14,355.0,327.75,186.75,3207,2803,3009,3854,1648,44.75
Saudi Arabia,2015,778.75,778.75,2.5,26.99,61.91,22.91,54.58,29614.25,13.55,0.14,367.0,358.0,195.0,2780,2448,2914,3761,2124,44.25
Serbia,2014,809.0,809.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,280.0,478.0,210.0,448,702,493,800,737,45.0
Serbia,2015,726.0,726.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,276.0,567.0,218.0,422,694,511,715,824,44.0
Singapore,2012,104.5,104.5,1.5,53.55,91.4,63.4,48.95,28310.0,15.85,0.34,358.0,310.5,212.0,143,499,294,324,54,51.0
Singapore,2013,57.5,86.5,1.5,60.05,91.4,77.05,60.85,28310.0,15.85,0.34,231.0,311.5,157.5,150,475,266,324,56,47.0
Singapore,2014,51.0,111.0,1.5,52.85,92.65,66.05,66.95,28310.0,15.85,0.34,355.0,288.5,210.0,147,523,334,353,49,51.5
Singapore,2015,43.0,100.0,1.5,57.95,93.7,67.0,70.95,28310.0,15.85,0.34,367.0,332.5,218.0,136,486,290,294,57,51.0
Slovak Republic,2014,732.0,732.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,709,625,493,628,737,45.0
Slovak Republic,2015,685.0,685.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,707,624,645,590,871,44.0
Slovenia,2014,682.0,682.0,1.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,1212,1259,919,1229,1289,44.5
Slovenia,2015,662.0,662.0,1.5,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,1194,1235,832,1211,1259,44.5
South Africa,2012,201.67,201.67,2.0,28.43,63.33,34.5,48.2,21736.67,17.9,0.12,177.0,81.0,176.0,1307,977,859,1225,924,47.67
South Africa,2013,235.25,235.25,2.5,29.18,61.05,34.75,54.6,23945.5,19.65,0.1,223.0,97.0,185.5,1880,1393,1198,1791,1562,47.0
South Africa,2014,344.2,352.0,3.0,25.82,59.94,28.03,58.02,23346.6,18.96,0.11,248.2,127.4,188.2,2515,1972,1643,2520,2288,46.6
South Africa,2015,361.4,371.8,3.0,26.96,59.68,27.75,60.42,23346.6,18.96,0.11,253.2,126.8,194.4,2463,1886,1755,2518,1921,46.2
South Korea,2012,196.29,189.29,5.14,47.81,25.04,40.07,40.14,19429.86,14.16,0.11,306.86,212.14,197.86,1418,2400,2008,2068,239,48.14
South Korea,2013,131.17,128.0,4.0,58.43,29.75,59.53,53.65,18608.83,13.62,0.1,317.67,165.67,195.17,1033,1795,1388,1504,149,49.33
South Korea,2014,516.38,511.97,17.5,36.7,46.47,33.19,58.47,20100.88,15.64,0.13,351.59,385.21,210.0,19188,23227,19522,21165,6481,46.32
South Korea,2015,532.78,544.67,18.5,36.81,47.09,33.54,59.01,20148.11,15.67,0.13,363.61,448.36,218.0,20805,24739,21386,23011,6952,45.86
Spain,2012,276.88,276.88,7.25,22.91,39.35,16.18,54.52,32843.75,13.54,0.12,360.88,439.62,214.0,2143,2842,2894,2595,2587,46.12
Spain,2013,279.57,279.57,8.29,26.91,40.36,21.77,64.21,33086.29,14.83,0.1,361.0,460.71,214.0,1993,2386,2464,2208,2734,46.29
Spain,2014,606.93,621.26,20.93,30.84,48.3,27.02,60.96,22828.95,15.55,0.13,345.02,438.9,209.9,23418,26718,23670,25691,17565,45.1
