country,year,world_rank_mean,world_rank_median,the_best_world_rank,cwur_world_rank_mean,cwur_world_rank_median,the_best_cwur_world_rank,teaching_mean,international_mean,citations_mean,cwur_score_mean,total_students_covered,avg_students_per_university,avg_international_student_share,student_staff_ratio_mean,cwur_quality_of_education_mean,cwur_alumni_employment_mean,cwur_quality_of_faculty_mean,cwur_publications_mean,cwur_influence_mean,cwur_citations_mean,rank_gap_mean,faculty_efficiency_mean,global_influence_index_mean
Argentina,2014,748.5,819.0,378.0,748.5,819.0,378,33.8,51.4,62.6,44.75,83804.0,20951.0,0.14,16.2,314.25,477.25,201.5,625.75,625.0,544.5,0.0,12.44,0.28
Argentina,2015,681.33,744.0,367.0,681.33,744.0,367,33.8,51.4,62.6,44.33,62853.0,20951.0,0.14,16.2,286.67,526.67,205.33,513.0,568.33,492.33,0.0,12.67,0.12
Australia,2012,230.0,263.5,37.0,231.64,263.5,37,29.24,76.61,43.26,45.68,578584.0,26299.27,0.26,25.7,278.45,369.55,192.68,371.64,377.36,417.68,-1.64,7.69,0.17
Australia,2013,219.89,251.0,28.0,224.58,251.0,28,34.97,75.78,53.81,45.68,495823.0,26095.95,0.28,27.44,274.32,351.0,194.84,379.37,384.89,417.05,-4.68,7.29,0.22
Australia,2014,371.17,301.0,34.0,510.59,572.0,63,29.09,72.88,53.51,45.93,724464.0,24981.52,0.25,24.94,299.69,393.79,197.69,448.17,425.14,451.41,-139.41,8.53,-0.31
Australia,2015,358.47,301.0,33.0,488.97,532.0,65,30.76,72.11,55.7,45.67,755168.0,25172.27,0.25,25.18,311.1,418.07,204.97,432.77,419.03,450.0,-130.5,8.77,-0.28
Austria,2012,228.6,251.0,139.0,228.6,251.0,139,28.44,76.04,50.62,45.4,119509.0,23901.8,0.23,29.06,290.4,355.4,168.4,463.4,386.6,399.2,0.0,6.11,0.25
Austria,2013,252.83,276.0,162.0,252.83,276.0,162,33.05,71.88,56.82,45.5,126935.0,21155.83,0.24,24.7,302.17,383.17,176.0,430.0,361.33,374.0,0.0,17.39,0.17
Austria,2014,481.08,401.5,170.0,558.0,580.5,205,31.12,62.39,59.57,45.33,252641.0,21053.42,0.19,20.45,326.58,418.75,191.83,576.42,494.0,529.17,-76.92,15.04,0.03
Austria,2015,492.33,484.5,182.0,545.25,579.0,223,31.46,63.69,61.34,44.92,252641.0,21053.42,0.19,20.45,336.33,452.92,195.42,575.33,499.58,522.0,-52.92,15.39,0.05
Belgium,2012,203.0,201.0,67.0,203.0,201.0,67,30.73,63.67,53.76,47.14,169661.0,24237.29,0.19,31.06,228.0,385.71,154.86,258.29,269.0,186.0,0.0,5.57,-0.23
Belgium,2013,197.86,192.0,58.0,197.86,192.0,58,36.1,60.41,61.94,47.14,169661.0,24237.29,0.19,31.06,228.0,385.71,154.86,258.29,269.0,186.0,0.0,5.57,-0.21
Belgium,2014,307.64,176.0,61.0,326.82,248.0,61,33.38,57.93,64.9,47.18,253465.0,23042.27,0.17,25.65,251.0,354.55,173.18,383.91,398.09,293.27,-19.18,8.19,-0.27
Belgium,2015,334.09,201.0,55.0,342.45,280.0,55,35.18,58.25,62.59,46.55,253465.0,23042.27,0.17,25.65,263.91,400.09,179.55,403.64,400.64,297.18,-8.36,8.51,-0.34
Brazil,2012,227.0,227.0,178.0,227.0,227.0,178,57.0,21.0,17.0,47.5,108497.0,54248.5,0.04,14.95,327.5,247.0,212.0,232.0,294.0,246.5,0.0,14.19,-0.61
Brazil,2013,204.5,204.5,158.0,204.5,204.5,158,57.35,22.7,28.35,47.5,108497.0,54248.5,0.04,14.95,327.5,247.0,212.0,232.0,294.0,246.5,0.0,14.19,-0.68
Brazil,2014,726.26,852.0,226.0,721.26,852.0,131,34.9,48.3,59.03,44.74,464664.0,24456.0,0.13,16.07,347.26,419.79,210.0,612.58,709.63,584.16,5.0,13.08,0.34
Brazil,2015,732.0,915.0,201.0,728.37,915.0,132,35.24,48.41,59.18,44.63,464664.0,24456.0,0.13,16.07,349.95,462.42,217.58,608.84,710.16,606.58,3.63,13.55,0.36
Bulgaria,2014,826.0,826.0,826.0,826.0,826.0,826,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,234.0,478.0,210.0,798.0,874.0,406.0,0.0,12.96,0.38
Bulgaria,2015,845.0,845.0,845.0,845.0,845.0,845,33.8,51.4,62.6,44.0,20951.0,20951.0,0.14,16.2,254.0,567.0,218.0,814.0,881.0,645.0,0.0,13.46,0.7
Canada,2012,168.44,193.0,19.0,172.56,193.0,35,39.17,62.19,55.21,47.56,572284.0,31793.56,0.16,22.85,275.67,253.78,178.11,215.28,247.33,187.94,-4.11,8.03,-0.24
Canada,2013,181.89,226.0,21.0,183.21,226.0,29,40.42,60.01,61.33,47.37,599511.0,31553.21,0.16,22.5,271.68,250.53,177.89,214.95,248.47,188.42,-1.32,8.21,-0.24
Canada,2014,395.27,276.0,20.0,426.3,377.0,31,35.48,57.74,61.91,47.3,892825.0,27055.3,0.15,19.83,306.15,306.24,191.33,403.91,437.33,357.91,-31.03,10.22,-0.21
Canada,2015,409.74,251.0,20.0,436.09,357.0,32,36.26,58.71,63.27,46.65,913776.0,26875.76,0.15,19.72,313.38,322.18,199.03,419.24,445.82,343.62,-26.35,10.69,-0.21
Chile,2012,350.0,350.0,350.0,350.0,350.0,350,17.1,45.5,30.1,45.0,25075.0,25075.0,0.07,15.3,336.0,201.0,214.0,448.0,310.0,569.0,0.0,13.99,0.13
Chile,2014,667.25,624.0,450.0,667.25,624.0,450,24.42,49.25,63.75,44.75,78695.0,19673.75,0.09,20.42,318.0,374.25,210.0,638.5,518.75,569.75,0.0,11.46,0.22
Chile,2015,464.25,400.5,251.0,641.5,615.0,376,24.42,49.25,63.75,44.5,78695.0,19673.75,0.09,20.42,329.75,361.5,218.0,632.75,508.75,617.5,-177.25,11.89,0.25
China,2012,236.7,263.5,49.0,236.7,263.5,49,45.04,25.88,38.61,48.1,371054.0,37105.4,0.08,12.59,340.2,213.4,214.0,142.6,366.3,353.2,0.0,17.99,-0.02
China,2013,214.44,251.0,46.0,214.44,251.0,46,48.3,34.57,52.37,48.44,318123.0,35347.0,0.08,12.6,338.56,191.67,214.44,204.11,346.44,343.33,0.0,18.04,0.01
China,2014,688.73,761.0,45.0,691.87,761.0,55,34.57,48.82,61.04,45.04,1933789.0,23298.66,0.13,15.71,341.65,383.84,210.1,607.01,756.63,647.14,-3.13,13.59,0.54
China,2015,664.0,727.5,48.0,669.18,727.5,56,34.61,48.93,61.5,44.8,1912838.0,23327.29,0.13,15.7,351.12,415.41,218.0,566.7,742.74,622.57,-5.18,14.11,0.48
