world_rank,university_name,country,teaching,international,research,citations,num_students,student_staff_ratio,international_students,year,cwur_world_rank,cwur_national_rank,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
301.0,University of Porto,Portugal,17.7,42.0,13.0,43.9,32720.0,18.8,0.09,2012,301,2,88,372,90,268,387,257,345,416,46
193.0,City University of Hong Kong,Hong Kong,30.2,61.6,35.0,57.4,10015.0,7.1,0.28,2012,193,4,361,522,214,254,884,502,341,323,46
350.0,Polytechnic University of Catalonia,Spain,23.0,42.0,12.5,23.3,22893.0,11.7,0.28,2012,350,8,361,390,214,378,580,387,527,97,45
87.0,Uppsala University,Sweden,47.2,59.1,65.1,53.3,25266.0,18.2,0.12,2012,87,4,68,328,90,94,76,96,102,804,50
169.0,Université Catholique de Louvain,Belgium,29.2,72.5,34.7,65.5,28856.0,42.0,0.19,2012,169,4,361,266,100,231,306,124,186,208,47
251.0,Queen’s University Belfast,United Kingdom,26.5,89.5,21.3,42.0,17940.0,17.9,0.3,2012,251,32,176,393,214,307,280,274,304,557,46
201.0,National Tsing Hua University,Taiwan,42.7,17.7,44.5,39.7,10221.0,13.5,0.05,2012,201,4,253,499,214,234,416,460,380,642,45
350.0,Loughborough University,United Kingdom,27.9,66.7,25.7,9.2,13951.0,15.9,0.22,2012,350,53,361,522,214,504,792,560,637,558,44
350.0,University of Kent,United Kingdom,15.6,82.5,18.5,19.1,17638.0,14.4,0.27,2012,350,51,361,404,214,640,458,560,650,799,45
35.0,"University of California, Santa Barbara",United States of America,55.0,52.6,65.3,99.9,22020.0,27.3,0.11,2012,10,8,16,52,6,6,5,3,538,16,79
201.0,Autonomous University of Barcelona,Spain,33.7,45.9,27.9,57.9,30538.0,12.3,0.1,2012,201,3,361,522,214,145,219,257,218,240,47
186.0,Pompeu Fabra University,Spain,23.4,54.3,16.1,87.6,10901.0,18.3,0.13,2012,186,10,361,522,214,403,174,518,330,542,45
